(0, 0, 0)
(0, 0, 2)
(0.04, 0, 2)
(0.6921, 0, 1.876)
(0.8587, 0, 1.806)
(0.9238, 0, 1.774)
(0.9534, 0, 1.758)
(0.9825, 0, 1.742)
(1.011, 0, 1.725)
(1.043, 0, 1.707)
(1.096, 0, 1.673)
(1.124, 0, 1.654)
(1.151, 0, 1.635)
(1.178, 0, 1.616)
(1.208, 0, 1.594)
(1.258, 0, 1.555)
(1.284, 0, 1.533)
(1.31, 0, 1.512)
(1.334, 0, 1.49)
(1.359, 0, 1.467)
(1.384, 0, 1.444)
(1.408, 0, 1.421)
(1.431, 0, 1.397)
(1.454, 0, 1.373)
(1.477, 0, 1.349)
(1.501, 0, 1.322)
(1.523, 0, 1.297)
(1.562, 0, 1.249)
(1.582, 0, 1.223)
(1.603, 0, 1.197)
(1.625, 0, 1.166)
(1.644, 0, 1.139)
(1.663, 0, 1.111)
(1.683, 0, 1.08)
(1.717, 0, 1.025)
(1.749, 0, 0.9706)
(1.765, 0, 0.9411)
(1.78, 0, 0.9117)
(1.795, 0, 0.882)
(1.811, 0, 0.8477)
(1.837, 0, 0.7905)
(1.85, 0, 0.7595)
(1.863, 0, 0.7286)
(1.874, 0, 0.6976)
(1.887, 0, 0.6641)
(1.907, 0, 0.6043)
(1.916, 0, 0.5724)
(1.926, 0, 0.5404)
(1.934, 0, 0.5084)
(1.942, 0, 0.4764)
(1.957, 0, 0.4106)
(1.964, 0, 0.378)
(1.97, 0, 0.3451)
(1.975, 0, 0.3127)
(1.985, 0, 0.2448)
(1.992, 0, 0.1807)
(1.995, 0, 0.1472)
(1.997, 0, 0.1138)
(1.999, 0, 0.04607)
(2, 0, -0.01784)
(1.999, 0, -0.05106)
(1.998, 0, -0.08442)
(1.996, 0, -0.1235)
(1.991, 0, -0.1895)
(1.984, 0, -0.2498)
(1.98, 0, -0.2828)
(1.974, 0, -0.3209)
(1.963, 0, -0.3845)
(1.956, 0, -0.4174)
(1.949, 0, -0.4497)
(1.94, 0, -0.4861)
(1.923, 0, -0.5479)
(1.905, 0, -0.6087)
(1.895, 0, -0.6405)
(1.884, 0, -0.6716)
(1.871, 0, -0.707)
(1.859, 0, -0.738)
(1.846, 0, -0.7691)
(1.833, 0, -0.7993)
(1.805, 0, -0.8616)
(1.776, 0, -0.919)
(1.761, 0, -0.9485)
(1.745, 0, -0.9774)
(1.714, 0, -1.03)
(1.697, 0, -1.059)
(1.676, 0, -1.091)
(1.658, 0, -1.119)
(1.639, 0, -1.146)
(1.619, 0, -1.174)
(1.598, 0, -1.203)
(1.559, 0, -1.253)
(1.537, 0, -1.279)
(1.516, 0, -1.305)
(1.494, 0, -1.33)
(1.472, 0, -1.354)
(1.448, 0, -1.38)
(1.425, 0, -1.404)
(1.38, 0, -1.447)
(1.356, 0, -1.47)
(1.302, 0, -1.518)
(1.254, 0, -1.558)
(1.228, 0, -1.579)
(1.201, 0, -1.599)
(1.144, 0, -1.64)
(1.09, 0, -1.677)
(1.038, 0, -1.71)
(1.008, 0, -1.727)
(0.9759, 0, -1.746)
(0.9193, 0, -1.776)
(0.8895, 0, -1.791)
(0.8599, 0, -1.806)
(0.8255, 0, -1.822)
(0.7656, 0, -1.848)
(0.7344, 0, -1.86)
(0.7036, 0, -1.872)
(0.6726, 0, -1.884)
(0.6408, 0, -1.895)
(0.6091, 0, -1.905)
(0.5771, 0, -1.915)
(0.5454, 0, -1.924)
(0.4866, 0, -1.94)
(0.4543, 0, -1.948)
(0.4161, 0, -1.956)
(0.3536, 0, -1.968)
(0.3207, 0, -1.974)
(0.2879, 0, -1.979)
(0.2547, 0, -1.984)
(0.2186, 0, -1.988)
(0.1855, 0, -1.991)
(0.1521, 0, -1.994)
(0.1189, 0, -1.996)
(0.08569, 0, -1.998)
(0.01691, 0, -2)
(-0.04504, 0, -1.999)
(-0.07851, 0, -1.998)
(-0.1118, 0, -1.997)
(-0.1494, 0, -1.994)
(-0.1827, 0, -1.992)
(-0.2439, 0, -1.985)
(-0.2768, 0, -1.981)
(-0.3153, 0, -1.975)
(-0.3783, 0, -1.964)
(-0.4414, 0, -1.951)
(-0.474, 0, -1.943)
(-0.5063, 0, -1.935)
(-0.5423, 0, -1.925)
(-0.6034, 0, -1.907)
(-0.6349, 0, -1.897)
(-0.6663, 0, -1.886)
(-0.7013, 0, -1.873)
(-0.7611, 0, -1.85)
(-0.8226, 0, -1.823)
(-0.8531, 0, -1.809)
(-0.9059, 0, -1.783)
(-0.9426, 0, -1.764)
(-0.9721, 0, -1.748)
(-1.001, 0, -1.731)
(-1.03, 0, -1.715)
(-1.087, 0, -1.679)
(-1.14, 0, -1.643)
(-1.167, 0, -1.624)
(-1.195, 0, -1.604)
(-1.221, 0, -1.584)
(-1.251, 0, -1.561)
(-1.298, 0, -1.521)
(-1.324, 0, -1.499)
(-1.348, 0, -1.477)
